Step,ActiveGroups,CycleOrder,Selected,Vehicles,GreenTime
283,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",east,2,14
284,"['north', 'east', 'south', 'west']",[],south,9,45
285,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",south,9,45
286,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",west,8,44
287,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",north,6,34
288,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",east,2,14
289,"['north', 'east', 'south', 'west']",[],south,9,45
290,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",south,9,45
291,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",west,8,44
292,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",north,6,34
293,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",east,2,14
294,"['north', 'east', 'south', 'west']",[],south,9,45
295,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",south,9,45
296,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",west,8,45
297,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",north,6,36
298,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",east,3,21
299,"['north', 'east', 'south', 'west']",[],south,9,45
300,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",south,9,45
301,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",west,8,44
302,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",north,6,34
303,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",east,1,12
304,"['north', 'east', 'south', 'west']",[],south,9,45
305,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",south,9,45
306,"['north', 'south', 'west']","['south', 'west', 'north', 'east']",west,8,40
307,"['north', 'south', 'west']","['south', 'west', 'north', 'east']",north,6,30
308,"['north', 'south', 'west']",[],south,7,35
309,"['north', 'south', 'west']","['west', 'north', 'south']",west,7,35
310,"['north', 'south', 'west']","['west', 'north', 'south']",north,6,30
311,"['north', 'south', 'west']","['west', 'north', 'south']",south,6,30
312,"['north', 'south', 'west']",[],north,6,30
313,"['north', 'south', 'west']","['north', 'west', 'south']",north,6,30
314,"['north', 'south', 'west']","['north', 'west', 'south']",west,7,35
315,"['north', 'south', 'west']","['north', 'west', 'south']",south,4,20
316,"['north', 'south', 'west']",[],west,7,35
317,"['north', 'south', 'west']","['west', 'north', 'south']",west,7,35
318,"['north', 'south', 'west']","['west', 'north', 'south']",north,6,30
319,"['north', 'south', 'west']","['west', 'north', 'south']",south,3,15
320,"['north', 'south', 'west']",[],west,7,35
321,"['north', 'south', 'west']","['west', 'north', 'south']",west,7,35
322,"['north', 'south', 'west']","['west', 'north', 'south']",north,6,30
323,"['north', 'south', 'west']","['west', 'north', 'south']",south,2,12
324,"['north', 'south', 'west']",[],west,7,35
325,"['north', 'south', 'west']","['west', 'north', 'south']",west,7,35
326,"['north', 'south', 'west']","['west', 'north', 'south']",north,6,30
327,"['north', 'south', 'west']","['west', 'north', 'south']",south,2,12
328,"['north', 'south', 'west']",[],west,7,35
329,"['north', 'south', 'west']","['west', 'north', 'south']",west,7,35
330,"['north', 'south', 'west']","['west', 'north', 'south']",north,5,25
331,"['north', 'south', 'west']","['west', 'north', 'south']",south,3,15
332,"['north', 'south', 'west']",[],west,7,35
333,"['north', 'south', 'west']","['west', 'north', 'south']",west,7,35
334,"['north', 'south', 'west']","['west', 'north', 'south']",north,6,30
335,"['north', 'south', 'west']","['west', 'north', 'south']",south,3,15
336,"['north', 'south', 'west']",[],west,7,35
337,"['north', 'south', 'west']","['west', 'north', 'south']",west,7,35
338,"['north', 'south', 'west']","['west', 'north', 'south']",north,6,30
339,"['north', 'south', 'west']","['west', 'north', 'south']",south,2,12
340,"['north', 'south', 'west']",[],west,7,35
341,"['north', 'south', 'west']","['west', 'north', 'south']",west,7,35
342,"['north', 'south', 'west']","['west', 'north', 'south']",north,6,30
343,"['north', 'south', 'west']","['west', 'north', 'south']",south,1,12
344,"['north', 'south', 'west']",[],west,7,35
345,"['north', 'south', 'west']","['west', 'north', 'south']",west,7,35
346,"['north', 'west']","['west', 'north', 'south']",north,5,25
347,"['north', 'west']",[],west,7,35
348,"['north', 'west']","['west', 'north']",west,7,35
349,"['north', 'west']","['west', 'north']",north,5,25
350,"['north', 'west']",[],west,7,35
351,"['north', 'west']","['north', 'west']",north,5,25
352,"['north', 'west']","['north', 'west']",west,5,25
353,"['north', 'west']",[],north,5,25
354,"['north', 'west']","['north', 'west']",north,5,25
355,"['north', 'west']","['north', 'west']",west,3,15
356,"['north', 'west']",[],north,5,25
357,"['north', 'west']","['north', 'west']",north,5,25
358,"['north', 'west']","['north', 'west']",west,3,15
359,"['north', 'west']",[],north,5,25
360,"['north', 'west']","['north', 'west']",north,5,25
361,"['north', 'west']","['north', 'west']",west,3,15
362,"['north', 'west']",[],north,5,25
363,"['north', 'west']","['north', 'west']",north,5,25
364,"['north', 'west']","['north', 'west']",west,3,15
365,"['north', 'west']",[],north,5,25
366,"['north', 'west']","['north', 'west']",north,5,25
367,"['north', 'west']","['north', 'west']",west,2,12
368,"['north', 'west']",[],north,5,25
369,"['north', 'west']","['north', 'west']",north,5,25
370,"['north', 'west']","['north', 'west']",west,2,12
371,"['north', 'west']",[],north,5,25
372,"['north', 'west']","['north', 'west']",north,5,25
373,"['north', 'west']","['north', 'west']",west,3,15
374,"['north', 'west']",[],north,5,25
375,"['north', 'west']","['north', 'west']",north,5,25
376,"['north', 'west']","['north', 'west']",west,4,20
377,"['north', 'west']",[],north,5,25
378,"['north', 'west']","['north', 'west']",north,5,25
379,"['north', 'west']","['north', 'west']",west,3,15
380,"['north', 'west']",[],north,5,25
381,"['north', 'west']","['north', 'west']",north,5,25
382,"['north', 'west']","['north', 'west']",west,4,20
383,"['north', 'west']",[],north,5,25
384,"['north', 'west']","['north', 'west']",north,5,25
385,"['north', 'west']","['north', 'west']",west,3,15
386,"['north', 'west']",[],north,5,25
387,"['north', 'west']","['north', 'west']",north,5,25
388,"['north', 'west']","['north', 'west']",west,3,15
389,"['north', 'west']",[],north,5,25
390,"['north', 'west']","['north', 'west']",north,5,25
391,"['north', 'west']","['north', 'west']",west,3,15
392,"['north', 'west']",[],north,5,25
393,"['north', 'west']","['north', 'west']",north,5,25
394,"['north', 'west']","['north', 'west']",west,3,15
395,"['north', 'west']",[],north,5,25
396,"['north', 'west']","['north', 'west']",north,5,25
397,"['north', 'west']","['north', 'west']",west,2,12
398,"['north', 'west']",[],north,5,25
399,"['north', 'west']","['north', 'west']",north,5,25
400,"['north', 'west']","['north', 'west']",west,3,15
401,"['north', 'west']",[],north,5,25
402,"['north', 'west']","['north', 'west']",north,5,25
403,"['north', 'west']","['north', 'west']",west,3,15
404,"['north', 'west']",[],north,5,25
405,"['north', 'west']","['north', 'west']",north,5,25
406,"['north', 'west']","['north', 'west']",west,2,12
407,"['north', 'west']",[],north,5,25
408,"['north', 'west']","['north', 'west']",north,5,25
409,"['north', 'west']","['north', 'west']",west,2,12
410,"['north', 'west']",[],north,5,25
411,"['north', 'west']","['north', 'west']",north,5,25
412,"['north', 'west']","['north', 'west']",west,2,12
413,"['north', 'west']",[],north,5,25
414,"['north', 'west']","['north', 'west']",north,5,25
415,"['north', 'west']","['north', 'west']",west,3,15
416,"['north', 'west']",[],north,5,25
417,"['north', 'west']","['north', 'west']",north,5,25
418,"['north', 'west']","['north', 'west']",west,3,15
419,"['north', 'west']",[],north,5,25
420,"['north', 'west']","['north', 'west']",north,5,25
421,"['north', 'west']","['north', 'west']",west,3,15
422,"['north', 'west']",[],north,5,25
423,"['north', 'west']","['north', 'west']",north,5,25
424,"['north', 'west']","['north', 'west']",west,2,12
425,"['north', 'west']",[],north,5,25
426,"['north', 'west']","['north', 'west']",north,5,25
427,"['north', 'west']","['north', 'west']",west,3,15
428,"['north', 'west']",[],north,5,25
429,"['north', 'west']","['north', 'west']",north,5,25
430,"['north', 'west']","['north', 'west']",west,3,15
431,"['north', 'west']",[],north,5,25
432,"['north', 'west']","['north', 'west']",north,5,25
433,"['north', 'west']","['north', 'west']",west,2,12
434,"['north', 'west']",[],north,5,25
435,"['north', 'west']","['north', 'west']",north,5,25
436,"['north', 'west']","['north', 'west']",west,2,12
437,"['north', 'west']",[],north,5,25
438,"['north', 'west']","['north', 'west']",north,5,25
439,"['north', 'west']","['north', 'west']",west,2,12
440,"['north', 'west']",[],north,5,25
441,"['north', 'west']","['north', 'west']",north,5,25
442,"['north', 'west']","['north', 'west']",west,3,15
443,"['north', 'west']",[],north,5,25
444,"['north', 'west']","['north', 'west']",north,5,25
445,"['north', 'west']","['north', 'west']",west,3,15
446,"['north', 'west']",[],north,5,25
447,"['north', 'west']","['north', 'west']",north,5,25
448,"['north', 'west']","['north', 'west']",west,3,15
449,"['north', 'west']",[],north,5,25
450,"['north', 'west']","['north', 'west']",north,5,25
451,"['north', 'west']","['north', 'west']",west,2,12
452,"['north', 'west']",[],north,5,25
453,"['north', 'west']","['north', 'west']",north,5,25
454,"['north', 'west']","['north', 'west']",west,3,15
455,"['north', 'west']",[],north,5,25
456,"['north', 'west']","['north', 'west']",north,5,25
457,"['north', 'west']","['north', 'west']",west,3,15
458,"['north', 'west']",[],north,5,25
459,"['north', 'west']","['north', 'west']",north,5,25
460,"['north', 'west']","['north', 'west']",west,2,12
