Step,ActiveGroups,CycleOrder,Selected,Vehicles,GreenTime
56,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",east,10,45
57,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",west,8,42
58,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",north,6,32
59,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",south,2,14
60,"['north', 'east', 'south', 'west']",[],east,10,45
61,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",east,10,45
62,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",west,8,44
63,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",north,6,34
64,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",south,2,14
65,"['north', 'east', 'south', 'west']",[],east,10,45
66,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",east,10,45
67,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",west,8,45
68,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",north,6,38
69,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",south,3,21
70,"['north', 'east', 'south', 'west']",[],east,10,45
71,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",east,10,45
72,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",west,8,44
73,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",north,6,36
74,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",south,2,14
75,"['north', 'east', 'south', 'west']",[],east,10,45
76,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",east,10,45
77,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",west,8,44
78,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",north,6,34
79,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",south,2,14
80,"['north', 'east', 'south', 'west']",[],west,8,44
81,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",west,8,44
82,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",north,6,34
83,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",east,5,29
84,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",south,2,14
85,"['north', 'east', 'south', 'west']",[],west,8,44
86,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",west,8,44
87,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",north,6,36
88,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",east,3,21
89,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",south,4,26
90,"['north', 'east', 'south', 'west']",[],west,8,45
91,"['north', 'east', 'south', 'west']","['west', 'north', 'south', 'east']",west,8,44
92,"['north', 'east', 'south', 'west']","['west', 'north', 'south', 'east']",north,6,34
93,"['north', 'east', 'south', 'west']","['west', 'north', 'south', 'east']",south,6,34
94,"['north', 'east', 'south', 'west']","['west', 'north', 'south', 'east']",east,2,14
95,"['north', 'east', 'south', 'west']",[],west,8,44
96,"['north', 'east', 'south', 'west']","['west', 'south', 'north', 'east']",west,8,44
97,"['north', 'east', 'south', 'west']","['west', 'south', 'north', 'east']",south,7,41
98,"['north', 'east', 'south', 'west']","['west', 'south', 'north', 'east']",north,6,36
99,"['north', 'east', 'south', 'west']","['west', 'south', 'north', 'east']",east,3,21
100,"['north', 'east', 'south', 'west']",[],west,8,45
101,"['north', 'east', 'south', 'west']","['west', 'south', 'north', 'east']",west,8,45
102,"['north', 'east', 'south', 'west']","['west', 'south', 'north', 'east']",south,7,39
103,"['north', 'east', 'south', 'west']","['west', 'south', 'north', 'east']",north,6,34
104,"['north', 'east', 'south', 'west']","['west', 'south', 'north', 'east']",east,2,14
105,"['north', 'east', 'south', 'west']",[],south,8,44
106,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",south,8,44
107,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",west,8,44
108,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",north,6,34
109,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",east,2,14
110,"['north', 'east', 'south', 'west']",[],south,8,44
111,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",south,8,44
112,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",west,8,44
113,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",north,6,34
114,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",east,2,14
115,"['north', 'east', 'south', 'west']",[],south,8,44
116,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",south,8,44
117,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",west,8,44
118,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",north,6,34
119,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",east,2,14
120,"['north', 'east', 'south', 'west']",[],south,8,44
121,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",south,8,44
122,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",west,8,44
123,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",north,6,36
124,"['north', 'east', 'south', 'west']","['south', 'west', 'north', 'east']",east,4,28
125,"['north', 'east', 'south', 'west']",[],west,8,45
126,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",west,8,45
127,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",north,6,38
128,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",east,5,31
129,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",south,4,28
130,"['north', 'east', 'south', 'west']",[],west,8,45
131,"['north', 'east', 'south', 'west']","['west', 'east', 'north', 'south']",west,8,45
132,"['north', 'east', 'south', 'west']","['west', 'east', 'north', 'south']",east,7,43
133,"['north', 'east', 'south', 'west']","['west', 'east', 'north', 'south']",north,6,36
134,"['north', 'east', 'south', 'west']","['west', 'east', 'north', 'south']",south,3,21
135,"['north', 'east', 'south', 'west']",[],west,8,44
136,"['north', 'east', 'south', 'west']","['west', 'east', 'north', 'south']",west,8,44
137,"['north', 'east', 'south', 'west']","['west', 'east', 'north', 'south']",east,7,39
138,"['north', 'east', 'south', 'west']","['west', 'east', 'north', 'south']",north,6,36
139,"['north', 'east', 'south', 'west']","['west', 'east', 'north', 'south']",south,2,14
140,"['north', 'east', 'south', 'west']",[],west,8,44
141,"['north', 'east', 'south', 'west']","['west', 'east', 'north', 'south']",west,8,45
142,"['north', 'east', 'south', 'west']","['west', 'east', 'north', 'south']",east,7,39
143,"['north', 'east', 'south', 'west']","['west', 'east', 'north', 'south']",north,6,36
144,"['north', 'east', 'south', 'west']","['west', 'east', 'north', 'south']",south,3,21
145,"['north', 'east', 'south', 'west']",[],east,8,45
146,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",east,8,45
147,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",west,8,44
148,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",north,6,34
149,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",south,3,21
150,"['north', 'east', 'south', 'west']",[],east,8,44
151,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",east,8,44
152,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",west,8,44
153,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",north,6,36
154,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",south,3,21
155,"['north', 'east', 'south', 'west']",[],east,8,44
156,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",east,8,44
157,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",west,8,45
158,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",north,6,34
159,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",south,2,14
160,"['north', 'east', 'south', 'west']",[],east,8,44
161,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",east,8,44
162,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",west,8,44
163,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",north,6,34
164,"['north', 'east', 'south', 'west']","['east', 'west', 'north', 'south']",south,2,14
165,"['north', 'east', 'south', 'west']",[],east,8,44
166,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",west,8,44
167,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",north,6,34
168,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",east,6,34
169,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",south,2,14
170,"['north', 'east', 'south', 'west']",[],west,8,44
171,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",west,8,44
172,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",north,6,34
173,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",east,4,26
174,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",south,4,26
175,"['north', 'east', 'south', 'west']",[],west,8,45
176,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",west,8,45
177,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",north,6,36
178,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",east,3,21
179,"['north', 'east', 'south', 'west']","['west', 'north', 'east', 'south']",south,5,31
180,"['north', 'east', 'south', 'west']",[],west,8,45
181,"['north', 'east', 'south', 'west']","['west', 'north', 'south', 'east']",west,8,44
182,"['north', 'east', 'south', 'west']","['west', 'north', 'south', 'east']",north,6,34
183,"['north', 'east', 'south', 'west']","['west', 'north', 'south', 'east']",south,7,41
184,"['north', 'east', 'south', 'west']","['west', 'north', 'south', 'east']",east,4,28
185,"['north', 'east', 'south', 'west']",[],west,8,45
186,"['north', 'east', 'south', 'west']","['west', 'south', 'north', 'east']",west,8,45
187,"['north', 'east', 'south', 'west']","['west', 'south', 'north', 'east']",south,7,41
188,"['north', 'east', 'south', 'west']","['west', 'south', 'north', 'east']",north,6,38
189,"['north', 'east', 'south', 'west']","['west', 'south', 'north', 'east']",east,3,21
190,"['north', 'east', 'south', 'west']",[],west,8,44
191,"['north', 'east', 'south', 'west']","['west', 'south', 'north', 'east']",west,8,45
192,"['north', 'east', 'south', 'west']","['west', 'south', 'north', 'east']",south,7,41
193,"['north', 'east', 'south', 'west']","['west', 'south', 'north', 'east']",north,6,34
194,"['north', 'east', 'south', 'west']","['west', 'south', 'north', 'east']",east,3,21
195,"['north', 'east', 'south', 'west']",[],west,8,44
196,"['north', 'east', 'south', 'west']","['west', 'south', 'north', 'east']",west,8,44
197,"['north', 'east', 'south', 'west']","['west', 'south', 'north', 'east']",south,7,41
198,"['north', 'east', 'south', 'west']","['west', 'south', 'north', 'east']",north,6,34
