Step,North,East,South,West,GreenTime
265,10,9,3,9,15
266,10,9,3,9,15
267,10,9,2,9,15
268,10,9,2,9,15
269,10,9,3,9,15
270,10,9,4,9,15
271,10,9,4,7,15
272,10,9,4,7,15
273,10,9,5,7,15
274,10,9,5,5,15
275,10,9,5,5,15
276,10,9,6,5,15
277,10,9,6,4,15
278,10,9,6,5,15
279,10,9,7,3,15
280,10,9,7,3,15
281,10,9,7,4,15
282,10,9,7,3,15
283,10,9,7,2,15
284,10,9,7,3,15
285,10,9,7,4,15
286,10,9,7,3,15
287,10,9,7,3,15
288,10,9,7,4,15
289,8,9,7,4,15
290,8,9,7,4,15
291,8,9,7,5,15
292,6,9,7,6,15
293,6,9,7,6,15
294,6,9,7,7,15
295,4,9,7,7,15
296,5,9,7,7,15
297,3,9,7,8,15
298,3,9,7,8,15
299,3,9,7,8,15
300,3,9,7,9,15
301,2,9,7,10,15
302,3,9,7,10,15
303,2,9,7,10,15
304,2,9,7,10,15
305,3,9,7,10,15
306,3,9,7,10,15
307,3,7,7,10,15
308,4,7,7,10,15
309,5,7,7,10,15
310,5,5,7,10,15
311,5,5,7,10,15
312,6,5,7,10,15
313,6,4,7,10,15
314,6,4,7,10,15
315,7,2,7,10,15
316,8,3,7,10,15
317,8,2,7,10,15
318,9,2,7,10,15
319,9,3,7,10,15
320,9,2,7,10,15
321,9,3,7,10,15
322,10,3,7,10,15
323,10,3,7,10,15
324,10,3,7,10,15
325,10,4,5,10,15
326,10,5,5,10,15
327,10,5,5,10,15
328,10,5,3,10,15
329,10,6,3,10,15
330,10,6,3,10,15
331,10,7,3,10,15
332,10,7,4,10,15
333,10,8,3,10,15
334,10,8,3,10,15
335,10,8,4,10,15
336,10,8,4,10,15
337,10,8,4,10,15
338,10,8,3,10,15
339,10,8,3,10,15
340,10,8,3,10,15
341,10,8,4,10,15
342,10,8,5,10,15
343,10,8,5,8,15
344,10,8,5,8,15
345,10,9,6,8,15
346,10,9,6,6,15
347,10,9,6,6,15
348,10,9,7,5,15
349,10,9,7,5,15
350,10,9,8,5,15
351,10,9,8,4,15
352,10,9,9,5,15
353,10,9,9,4,15
354,10,9,9,4,15
355,10,9,9,4,15
356,10,9,9,3,15
357,10,9,10,3,15
358,10,9,10,3,15
359,10,9,10,3,15
360,10,9,10,3,15
361,8,9,10,4,15
362,8,9,10,4,15
363,8,9,10,4,15
364,6,9,10,5,15
365,6,9,10,6,15
366,6,9,10,6,15
367,5,9,10,7,15
368,5,9,10,7,15
369,4,9,10,7,15
370,4,9,10,8,15
371,4,9,10,8,15
372,3,9,10,9,15
373,4,9,10,9,15
374,3,9,10,9,15
375,3,9,10,10,15
376,3,9,10,10,15
377,3,9,10,10,15
378,3,9,10,10,15
379,4,7,10,10,15
380,4,7,10,10,15
381,4,7,10,10,15
382,5,5,10,10,15
383,5,5,10,10,15
384,5,5,10,10,15
385,6,3,10,10,15
386,6,3,10,10,15
387,6,3,10,10,15
388,7,4,10,10,15
389,8,3,10,10,15
390,8,3,10,10,15
391,9,3,10,10,15
392,9,4,10,10,15
393,9,3,10,10,15
394,9,3,10,10,15
395,9,4,10,10,15
396,9,4,10,10,15
397,9,5,8,10,15
398,9,5,8,10,15
399,9,5,8,10,15
400,9,6,6,10,15
401,9,7,6,10,15
402,9,7,6,10,15
403,9,7,5,10,15
404,9,8,6,10,15
405,9,8,5,10,15
406,9,8,4,10,15
407,9,8,5,10,15
408,9,8,4,10,15
409,9,8,4,10,15
410,9,8,3,10,15
411,9,8,2,10,15
412,9,8,3,10,15
413,9,8,3,10,15
414,9,8,3,10,15
415,9,8,4,8,15
416,9,8,5,8,15
417,9,8,5,8,15
418,9,8,5,6,15
419,9,8,6,6,15
420,9,8,7,6,15
421,9,8,7,5,15
422,9,8,7,5,15
423,9,8,8,4,15
