Step,North,East,South,West,SelectedGroup,YOLO_Total,Fused_Total,GreenTime
153,6,8,3,8,north,0,25,36
154,6,8,3,8,south,0,25,21
155,6,8,2,8,east,0,24,44
156,6,8,2,8,east,0,24,44
157,6,8,3,8,west,0,25,45
158,6,8,2,8,north,0,24,34
159,6,8,2,8,south,0,24,14
160,6,8,2,8,east,0,24,44
161,6,8,2,8,east,0,24,44
162,6,8,2,8,west,0,24,44
163,6,8,2,8,north,0,24,34
164,6,8,2,8,south,0,24,14
165,6,8,2,8,east,0,24,44
166,6,6,2,8,west,0,22,44
167,6,6,2,8,north,0,22,34
168,6,6,2,8,east,0,22,34
169,6,5,2,8,south,0,21,14
170,6,4,2,8,west,0,20,44
171,6,3,2,8,west,0,19,44
172,6,3,2,8,north,0,19,34
173,6,4,3,8,east,0,21,26
174,6,3,4,8,south,0,21,26
175,6,4,4,8,west,0,22,45
176,6,4,4,8,west,0,22,45
177,6,3,5,8,north,0,22,36
178,6,3,5,8,east,0,22,21
179,6,3,5,8,south,0,22,31
180,6,3,6,8,west,0,23,45
181,6,2,6,8,west,0,22,44
182,6,2,6,8,north,0,22,34
183,6,3,7,8,south,0,24,41
184,6,4,7,8,east,0,25,28
185,6,3,7,8,west,0,24,45
186,6,3,7,8,west,0,24,45
187,6,3,7,8,south,0,24,41
188,6,4,7,8,north,0,25,38
189,6,3,7,8,east,0,24,21
190,6,2,7,8,west,0,23,44
191,6,3,7,8,west,0,24,45
192,6,3,7,8,south,0,24,41
193,6,2,7,8,north,0,23,34
194,6,3,7,8,east,0,24,21
195,6,2,7,8,west,0,23,44
196,6,2,7,8,west,0,23,44
197,6,3,7,8,south,0,24,41
198,6,2,7,8,north,0,23,34
199,6,2,7,8,east,0,23,14
200,6,3,7,8,west,0,24,45
201,6,2,7,8,west,0,23,44
202,6,2,7,8,south,0,23,39
203,6,2,7,8,north,0,23,34
204,6,2,7,8,east,0,23,14
205,6,2,7,8,west,0,23,44
206,6,2,7,8,west,0,23,44
207,6,2,7,8,south,0,23,39
208,6,2,7,8,north,0,23,34
209,6,1,7,8,east,0,22,12
210,6,1,7,8,west,0,22,42
211,6,0,7,8,west,0,21,40
212,6,0,7,8,south,0,21,35
213,6,0,7,8,north,0,21,30
214,6,0,7,8,west,0,21,40
215,6,0,7,8,west,0,21,40
216,6,1,7,8,south,0,22,37
217,6,1,7,8,north,0,22,32
218,6,1,7,8,west,0,22,42
219,6,2,7,8,west,0,23,44
220,6,2,7,8,west,0,23,44
221,6,2,7,8,south,0,23,39
222,6,2,5,8,north,0,21,34
223,6,2,5,8,east,0,21,14
224,6,3,5,8,west,0,22,45
225,6,3,3,8,west,0,20,45
226,6,3,3,8,north,0,20,36
227,6,4,3,8,east,0,21,26
228,6,4,3,8,south,0,21,21
229,6,4,3,8,west,0,21,45
230,6,5,3,8,west,0,22,45
231,6,5,3,8,north,0,22,36
232,6,6,4,8,east,0,24,38
233,6,6,4,8,south,0,24,28
234,6,6,3,8,west,0,23,45
